UAE FREEZONE COMPANIES LIST ,,,By: Darkreaper
187,Cellucom Saratel FZCO,,
188,Ceylinco Consolidated Overseas Ltd (Branch),,
189,Ceylinco Foliage Export (Pvt) Ltd (branch),,
190,CFS Middle East FZE,,
191,CH Warman Slurry Technologies FZE,,
192,Chadwick Technology (M.E.) (Branch),,
193,Chain International Transport Services FZE,,
194,Chanel Limited FZE,,
195,Chantelle Middle East (Branch),,
196,Chapman Freeborn Aviation Services (Branch),,
197,Charles Kendall Freight Limited (Branch),,
198,Chartered Services FZCO,,
199,Chip 1 Exchange FZCO,,
200,Chiquita International Limited (Branch),,
201,Chr. Hansen Middle East FZCO,,
202,City Health Care FZE,,
203,Clarins Groupe (Middle East) Ltd. (Branch),,
204,Clayford Holdings Corp (Branch),,
205,Coffee Marketing Services FZE,,
206,Cogefrin Logistics FZE,,
207,Colour Diamonds FZCO,,
208,"Complejo Hisparab De Exportaciones II, S.L (Branch)",,
209,Concord Aviation FZCO,,
210,Concord Ventures FZCO,,
211,Concord: marlin Lighting (Branch),,
212,Connection FZE,,
213,CONQUEST TRADING FZE,,
214,CONRAC MENA FZE,,
215,Consolidated Restaurant Management FZCO,,
216,CONTEG Middle East FZCO,,
217,Continental Electronics FZE,,
218,Continental Logistics (Branch),,
219,Controls Ltd (Branch),,
220,Copy Chase FZCO,,
221,CORETEC FZE,,
222,Cortem Middle East FZCO,,
223,COSL Middle East FZE,,
224,Cosmopolitan Cosmetics (Branch),,
225,"COSTAIN INTERNATIONAL
LIMITED (Branch)",,
226,Covansys (India) Private Limited-Middle East (Branch),,
227,Coyne Airways FZCO,,
228,CP Contracting & Trading FZE,,
229,CPME FZCO,,
230,Credo Investments FZE,,
231,Crown Diamonds FZE,,
232,Crystalline Middle East FZCO,,
233,CSDEU B.V. ( Middle East ) Branch.,,
234,CSS Logistics (L.L.C.) (Branch),,
235,CTI Group Inc (Branch),,
236,CTP Holding FZE,,
237,Curry Cafe (Branch),,
238,Cybertronics FZE,,
239,Cypress Corporation FZCO,,
240,Daallo Airlines (Branch),info@daallo.com,
241,DAL Group (Branch),,
242,DAMAC Properties International FZCO,,
243,Dangaard Telecom FZE,,
244,Danimex (Iraq) FZCO,,
245,Danimex (Middle East) FZCO,,
246,DANZAS AEI (Emirates) LLC. (Branch),,
247,David Morris London (Branch),,
248,DAXAR Multimedia Limited (Branch),,
249,De La Rue Cash Systems FZCO,,
250,Degussa Gulf FZE,,
251,Delight World Ltd (Branch),,
252,Delmatic Arabia FZCO,,
253,Delta Communication FZCO,,
254,DELTA JEWELTECH FZCO,,
255,Denco Trading FZCO,,
256,Derinton International (Branch),,
257,Derinton International FZE,,
258,DFS Middle East FZE,,
259,DH-Budenberg FZCO,,
260,DHL Worldwild Express - Logistic Center (Branch),,
261,Diageo Great Britain Limited (Branch),,
262,Diaglobe FZE,,
263,Dialust Trading FZE,,
264,Diamond Source FZE,,
265,DICOM FZE,,
266,Diebold Middle East (Branch),,
267,Digital Identification Solutions (Branch),,
268,Digital World FZE,,
269,Digitone International FZCO,,
270,Direct Connections LTD. Middle East (Branch),,
271,Direct Distribution FZE,,
272,DMT Asia FZE,,
273,DNG Fruit Promotion Company (Branch),,
274,DOAAN FZCO,,
275,Dorya Trading FZCO,,
276,Dr. Kurt Wolff - Cosmetics (Branch),,
277,Dr. Reddys Laboratories Ltd. (Branch),,
278,DRILTOOLS International FZCO,,
279,Dubai Express (L.L.C) Freightworks (Branch),,
280,Dubai Office Solutions Ltd (Branch),,
281,Dubai Penthouses & Real Estate FZCO,,
282,"DUBAI SELECT
Immobilienfonds GmbH & Co.KG (Branch)",,
283,Ducom Middle East FZE.,,
284,Dunwich FZE,,
285,Duravit Middle East (Branch),,
286,"E-FREIGHT INTERNATIONAL
LLC (Branch)",,
287,e-Services FZE,,
288,e-sharp FZCO,,
289,EADS Sogerma Services Middle East (Branch),,
290,East Air Cargo FZCO,,
291,East Sun International Trading FZE,,
292,Eastern SkyJets FZCO,info@easternskyjets.com,
293,EBEL Swissam (Branch),,
294,ECE Gulf (Branch),,
295,Ecolog International FZE,info@ecolog-international.com,
296,Ecostar International Holdings FZCO,,
297,Edwards Lifesciences Export (Puerto Rico) Corporation (Branch),,
298,EFFEBI Middle East (Branch),,
299,EICUK Middle East (Branch),,
300,Ekom Eczacibasi Foreign Trade Co. (Branch),,
301,Elecon Middle East FZCO,,
302,Elite Jets FZCO,,
303,Elite Managment Services FZCO,,
304,Elite Mobile FZE,,
305,Elyaco Agency (Branch),,
306,EMI Gems FZE,,
307,Emirates Group Security H.Q.,,
308,Emperion Middle East (Branch),info@emperion.net,
309,Empire International FZCO,,
310,Emtech FZE,,
311,"Endress + Hauser
Instruments International AG (Branch)",,
312,Energy Consulting Kema FZE,,
313,"Energy Solutions
International Middle East (Branch)",,
314,Engineering & Project Management Limited FZE,,
315,Enjoy Bijoux (Branch),,
316,EPL FZCO,,
317,Epoka M.E. FZCO,,
318,Erinys International LTD. (Branch),,
319,ERK MED FZCO,,
320,"ERSM (GUERNSEY) LTD.
(Branch)",,
321,ES Recruitment LTD (Branch),,
322,Essar Steel Trading FZE,,
323,Essex Chemie AG (Branch),,
324,Estee Lauder (Branch),,
325,etaone orient FZCO.,,
326,Euro Suisse International LTD (Branch),,
327,Euro Telecom FZCO,,
328,Euro Telecom FZE,,
329,Euro-Asia Air Services FZE,,
330,Euromed FZE,,
331,European Tobacco International FZE,,
332,Evans & Sutherland (Branch),,
333,Ever Gulf (Branch),,
334,Everest Middle East FZCO,,
335,EVEREX FZCO,,
336,Evergreen International Aviation (Branch),,
337,Execujet Middle East (L.L.C.) (Branch),,
338,Executives Aviation Services FZCO,,
339,Exel Middle East FZE,,
340,Experts Shipping Services LLC (Branch),,
341,EXPOLANKA FREIGHT FZCO,,
342,Exxon International Group FZE,,
343,Eye Business for Trading FZCO,,
344,F.M.E FZCO,,
345,Falat Sang Asia FZCO,,
346,Falcon Trade Corporation FZE,info@falcontradecorp.com,
347,FANAR FZCO,,
348,Fashion Distribution FZCO,,
349,Fashion Square FZE,,
350,FASSKA Middle East FZCO,,
351,Fast Link Dubai FZCO,,
352,Fast Link International (Branch),,
353,FB Heliservices (Branch),,
354,Federal Express International Inc. (Branch),,
355,Felopateer Palace FZCO,,
356,FERCO Shutters Middle East FZCO,,
357,Figs n Olives (Branch),,
358,Firstcom FZE,,
359,Fisher Scientific International (Branch),,
360,Fiza Engineering Corporation (Branch),,
361,FLAVORS (Branch),,
362,Flawless FZE,,
363,Flora International FZE,,
364,Focus Middle East FZCO,,
365,Fonterra Middle East and Africa (Branch),,
366,Food Source International FZCO,,
367,Forbo Flooring Middle East (Branch),,
368,Force Live FZCO,,
369,Forcecom Middle East FZE,,
370,Forever Living Products FZE,,
371,Forwardair International PVT Limited FZCO,,
372,Frame & Associates FZCO,,
373,Frank Middle East (Branch),,
374,Franklin Electric Middle East (Branch),,
375,Freight Systems Co. Ltd. (Branch),,
376,Friedmutter Group (Branch),,
377,"Friends Provident
International (Middle East) (Branch)",,
378,Fromatech Middle East (Branch),,
379,FRP Services & Company (Middle East) FZE,,
380,FRP Services and Company (Branch),,
381,Future Conection FZCO,,
382,Future Enterprises FZE,,
383,G AND S Diamond FZE,,
384,G-Hanz EMF telecom FZCO,,
385,G.A.S. International Services Ltd (Branch).,,
386,GAC Shipping FZCO,,
387,Galaxy Trading Co. FZE,,
388,Galaxy Worldwide FZCO,,
389,"Gama Endustri Tesisleri
Imalat Ve Montaj A.S. (Branch)",,
390,Gap Insaat Dubai FZE,,
391,GAPS FZCO,,
392,GAVA Airfarm Logistics FZCO,info@gava.ae,
393,Geberit International Sales AG (Branch),,
394,GEMAT FZCO,,
395,Gemini Trading Co. FZE,,
396,Genesis Forwarding Services (Middle East) Ltd (Branch),,
397,GET Group FZE,,
398,"Ghabbour International
Trade & Free Zones Trade (Branch)",,
399,Giesecke & Devrient FZE,,
400,Giesecke & Devrient Holding FZE,,
401,GIG Middle East (Branch),,
402,GIS DEVELOPMENT (Branch),,
403,"Glem Gas International Trading, LDA (Branch)",,
404,Global Brands FZCO,,
405,Global Business Solutions FZCO,eadquarters@gbsuae.com,
406,Global Mall Organization (GMO) FZE,,
407,Global Services FZE,,
408,Global Solutions FZE,,
409,Global Strategic Business Consultancy FZCO,,
410,Global Strategies Group (Middle East) FZE,,
411,Global Technical Engineering Company FZCO,,
412,Global Technology & Software FZCO,,
413,Global Telecom Services Company FZCO.,,
414,Globstar Middle East FZE,,
415,GLOCK Middle East FZE,,
416,GMP German Medical Products Middle East (Branch),,
417,Go-Gulf FZE.,,
418,Golden Mobile Stores FZCO,,
419,Grand Stores L.L.C. (Branch),,
420,Grant Prideco Middle East (Branch),,
421,Greatlinks Limited (Branch),,
422,Green Technologies FZCO,talktous@greentechno.ae,
423,Green Wave Trading FZCO.,,
424,Groupe SEB Export - Middle East (Branch),,
425,GroupSAT FZCO,,
426,GSM 4U DOT COM FZCO,,
427,Guerlain Middle East (Branch),,
428,Gulf Agency Company (Branch),,
429,Gulf Aluminium Systems FZCO,,
430,Gulf Med FZE,,
431,Gulf Petroleum & Crude Oil Resources FZCO,,
432,Gulf Valley Future Co. FZCO,,
433,Gulf Wireless FZCO,,
434,Gunnebo Security (Branch),,
435,Gutmann Systems Middle East FZCO,,
436,H.B. Agency (Branch),,
437,Hadid International Services FZE,,
438,Hammer FZE,,
439,Hamon Cooling Tower Company FZCO,,
440,Hanover Eastern Hemisphere FZE,,
441,Hanwa Co. LTD (Branch),,
442,Hargreaves International FZE,,
443,Harris International FZE,,
444,Hart Security FZE,,
445,Hassans Derivision FZCO,,
446,Hauyne FZCO,,
447,Havells (Branch),,
448,Hawk Freight Services FZE,,
449,Hawk Freight Services Ltd (Branch),,
450,Hayashibara International Inc (Branch),,
451,HBI FZCO,,
452,HC Trading (Branch),,
453,Hennessy Middle East (Branch),,
454,HerbalScience FZCO,,
455,Heston Group FZE,,
456,Hetero FZCO,,
457,High Sealed and Coupled FZCO,,
458,Hill McGlynn & Associates Limited (Branch),,
459,Hiro Enterprise FZCO,,
460,HLB-NGA International (Branch),,
461,Hoffmann Montagen (Branch),,
462,Hollywood Magic (Branch),,
463,Horizon Distribution FZE,,
464,Hot Brands International FZCO,,
465,HRP Middle East (Branch),,
466,Huda Lighting FZCO,,
467,Hünnebeck Middle East FZE,,
468,Husky Injection Molding Systems (Branch),,
469,Hutchison Port Holdings Limited (Branch),,
470,i1 FZE,,
471,ICAT FZCO,,
472,ICT Frontiers FZE,,
473,Iguzzini Middle East Representative Office (Branch),,
474,"IJS International Holdings
B.V. (Branch)",,
475,IKPT Overseas FZE,,
476,IKUSI MIDDLE EAST FZE,,
477,IMARA International FZCO.,,
478,IMCO Trading FZE,,
479,Imdad FZCO,,
480,Imdad Medical Co. Ltd. (Branch),,
481,IMI Mobile Vas Ltd FZE,,
482,Indus Gems Inc. (Branch),,
483,Infopro International FZCO,,
484,Infotech Enterprises Limited (Branch),,
485,Innovate Design FZCO,,
486,Innovative Catering Equipment Middle East FZCO,,
487,Instant Cash FZE,,
488,"INSTITUTE OF ELECTRICAL & ELECTRONICS ENGINEERS
(Branch)",,
489,Integrated Packaging Systems FZCO,,
490,"Intellect, INC (Branch)",,
491,Interactive Audio Education FZE,,
492,Interfire International Middle East FZCO,,
493,INTERFOODS FRESH AND FROZEN FZE,,
494,Interfruit FZE,,
495,Interken Logistics FZCO,,
496,INTERMET FZCO,,
497,International Air Charter FZCO,info@privatejetcharter.com,
498,International Air Charter PLC-Middle East (Branch),,
499,International Air Services FZE,,
500,International AutoSource-A division of OMSC (Branch),,
501,International Credit Care FZE,,
502,INTERNATIONAL FRAGRANCE SPA (Branch),,
503,International Furniture Ltd. (Branch),,
504,International Marketing Service (Branch),,
505,International Network Services MEA(Branch),,
506,International Shenger FZCO,,
507,International SOS MEA (Branch),,
508,International Time Trading FZE,,
509,Interval International FZE,,
510,Intraco International Middle East (Branch),,
511,Intracom Middle East FZE,,
512,IP Dish FZCO,sales@ipdish.net,
513,IPSSL Group (Branch),,
514,IQC International FZCO,,
515,ISCOME FZE,,
516,Ishtar Airlines FZCO,,
517,IST Networks (Branch),,
518,IT & Data Processing FZE,,
519,ITM FZCO,,
520,ITON Corporation FZCO,info@itoncorp.com,
521,"ITR Co., Ltd. Middle East (Branch)",,
522,IVAX Pharmaceuticals MENA Region (Branch),,
523,IVECO Regional Representative Office (Branch),,
524,J Square Trading LTD (Branch),,
525,JABCO International FZE,,
526,JAS (Middle East) FZE,,
527,JC Westerman FZCO,,
528,Jenbacher FZE,,
529,Jet Alliance Middle East FZE,,
530,Jet Aviation Business Jets FZCO,,
531,Jet-Ops FZE,,
532,JetEx FZCO,,
533,Jetset Cargo FZE,,
534,Jewel Trade FZE,,
535,Johnson & Johnson (Middle  East) Inc. Service Center (Branch),,
536,Jolly Board Ltd. (Branch),,
537,Joud Telecom FZE.,,
538,Jublee Logistics FZE,,
539,"Juma Al Majid-Engineering
Projects & Supplies Division (Branch)",,
540,Kahloon Enterprises Limited (Branch),,
541,Kaiser Consulting Limited. (Branch),,
542,Kanaha Restaurant FZCO,,
543,Kanegrade Middle East (Branch),,
544,KASB Petroleum FZCO,,
545,Kathrein Middle East FZCO,,
546,Kazmortransflot Ltd (Branch),,
547,KCI Medical Middle East (Branch),,
548,Kintetsu World Express (Middle East) FZE,,
549,Kiran Goldstar FZE,,
550,Kitz Corporation (Branch),,
551,"Knauf AMF
Verwaltungsgesellschaft mbH (Branch)",,
552,Knights & Walker FZE,,
553,KNOC Dubai (Branch),,
554,Korn - Ferry (Schweiz) AG (Branch),,
555,Kympa Arabia FZE,,
556,L.M.S. Logistic Middle East Services FZCO.,,
557,Langmead Associates W.L.L ( Branch),,
558,"LE VENCH INTERNATIONAL
LTD (Branch)",,
559,"Lexli International, Inc FZE",,
560,Lindner AG Middle East (Branch),,
561,Link International Trading FZCO,,
562,Linkglobal Logistics International FZE,,
563,Liptis Middle East (Branch),,
564,Lisec Middle East Ltd. FZE,,
565,Locatel MEA-AP FZCO,,
566,Logix Gulf Aviation (Branch),,
567,Louis Poulsen Lighting (Branch),,
568,Loylogic Middle East FZCO,,
569,Loylogic Rewards FZE,,
570,LS Cargo Logistics (Middle East) Branch,,
571,Lufthansa Technical Training (Branch),,
572,Luxottica Middle East FZE,,
573,Luxurious Jewels International FZCO,,
574,LVMH Watch & Jewellery Far East Limited - Middle East Branch,,
575,M E Software Distribution FZE,,
576,Maam Trading FZCO,,
577,MACH Air Cargo FZE,,
578,Machine Vision Products (Branch),,
579,Machinery International FZE,,
580,Madison Holding FZCO,,
581,Magic Wok (Branch),,
582,Magnetrol Middle East (Branch),,
583,Mahtaab Gostar International FZE,,
584,Majestic Air (Branch),,
585,MAKS Media Group FZE,,
586,MAN Middle East FZCO,,
587,Mann+Hummel (Branch),,
588,MARCURA FZE,,
589,Marcus Evans FZE,,
590,MARK WEIGH FZCO,,
591,Markwins International Middle East (Branch),,
592,MARWACO International FZE,,
593,MAS i FZCO,,
594,Masefield Middle East FZCO,,
595,Mashriq Telecom FZE,,
596,Master Chef Catering L.L.C. (Branch),,
597,Matrix Information Technology FZCO,,
598,Maui Jim Middle East FZE,,
599,Max Petrochem FZCO,,
600,Maximum Telecom FZCO,,
601,Mayne Pharma (ME & NA) (Branch),,
602,McNally Design International M.E. FZCO,,
603,MEC Corporation (Branch).,,
604,Med-El Medical Electronics - Middle East FZE,,
605,Medcomm Holding Inc (Branch),,
606,MEGlobal International FZE,,
607,Mehler Haku (Branch),,
608,MEMRB Retail Tracking Services Gulf FZE,,
609,Merck Middle East FZE,,
610,Metasolv Software Middle East (Branch),,
611,Metcom (Branch),,
612,Metronic Global Berhad (Branch),,
613,Mexx Middle East Center FZE,,
614,MIA Marketing-International Agency (Branch),,
615,MIB Trading FZE,,
616,MICROTEL FZCO,,
617,Microwave Data Systems Inc. (Branch),,
618,Midcom International FZCO,,
619,Middle East Duty Free Association (MEDFA) FZE,,
620,Middle East Fish FZCO,,
621,Middle East Networks FZE,,
622,Middle East Optronics FZCO,,
623,Mideast International FZCO,,
624,Midex FZCO,,
625,Midsummer Business (Branch),,
626,MindsTec Distribution FZCO,,
627,Mining Equipment Supplies Africa FZE,,
628,"Mitsubishi Caterpillar
Forklift Europe - (Middle East Branch)",,
629,Mitwalli Global Investments (Branch),,
630,MKS Technology GMBH (Branch),,
631,"Modern Pharmaceutical Co.
""Pfizer Consumer Healthcare"" (Branch)",,
632,Modest Company (Branch),,
633,Monalisa Diamonds Corporation FZE,,
634,MoneyGram Overseas (Branch),,
635,Morex Inc. (Branch),,
636,Mouawad Gulf (Branch),,
637,Move one relocations FZE,,
638,MSL International (Branch),,
639,MultiSell Technology Middle East FZCO,,
640,Music Master FZE,,
641,NAAM Electronics FZE,,
642,Napco Gulf Security Group (Branch).,,
643,National Air Cargo Middle East FZE,,
644,National Grid Middle East FZCO,,
645,"National Rent A Car (Thrifty)
- (Branch)",rez@thriftyuae.ae,
646,Natura Bissé International (Branch),,
647,Natural Health Products FZCO,,
648,NEC Philips Unified Solutions Nederland B.V (Branch),,
649,NECON FZCO,,
650,NeST Technologies MEA FZCO,,
651,NetFoods International FZCO,,
652,Netgear International Inc. (Branch),,
653,NetHawk Oyi (Branch),,
654,Network Logistic Services FZCO,,
655,Neuro Technology Middle East FZE,,
656,New Dental Technologies FZCO,,
657,New Wave FZCO,,
658,Newell Rubbermaid Middle East FZE,,
659,Newtel FZCO,,
660,Nexen Petroleum International Ltd (Branch),,
661,NICRINOX FZE,,
662,NIIT Antilles N.V. Middle East (Branch),,
663,Nikatel FZCO,,
664,Nimarha FZE,,
665,Nipro Asia PTE. LTD (Branch),,
666,Nipro Middle East FZE,,
667,Niru Middle East (Branch),,
668,NMT International FZCO,,
669,Noble House FZE,,
670,Noble Knight Trading FZCO,,
671,Nokian Capacitors (Branch),,
672,"Northrop Grumman
International Services Company Inc (Branch)",,
673,Novatex GmbH (Branch),,
674,NSK Middle East (Branch),,
675,NTS FZCO,,
676,NU Telecom (Dubai) LTD (Branch),,
677,Oasis Distribution FZCO,,
678,Oasis Trading Company FZE,,
679,Oasis Trading FZE,,
680,Oberthur Card Systems SA (Branch),,
681,Ocean Connection FZE,,
682,Oceanic Trade and Services FZCO,,
683,OCTARA MANAGEMENT SERVICES FZE,,
684,ODC FZE,,
685,OIC Gmbh ( Branch),,
686,"Oil & Gas Engineering-
Maintainance Expert Group (OGE-MEG) FZCO",,
687,Oilbay Services FZCO,,
688,Oilfield Production Support Group Limited (Branch),,
689,Oki Europe Limited (Branch),,
690,"Oman Enterprise Group
L.L.C. (Branch)",,
691,OMAN MARBLE FZCO,,
692,Openway Middle East FZCO,,
693,Optical Disc Technology Centre (Branch),,
694,Optimum 3 GCC FZE,,
695,Orengor Management Limited FZCO,,
696,Orient Energy Systems FZCO,,
697,Oriental Sky Aviation FZE,,
698,Orion Engineering and Aerospace Systems FZCO,,
699,Orion Holding Limited (Branch),,
700,Oubari Pharma (Branch),,
701,"Overseas Security &
Strategic Information Limited (Branch)",,
702,P.J.S.C TPK FELIX (Branch),,
703,Pace Networks Corporation (Branch),,
704,Pacific Creation Parfums (Branch),,
705,Pakistan Engineering Services (Branch),,
